,A,reg_number,date,values,mpal,stops
24,"Razem 14,0 0 7053 / 7075 2 379,04 PLN",TK1503U,01-12-23,"['14,0', '0', '7053', '/', '7075', '2', '379,04', 'PLN']","14,0",2
46,"Razem 18,4 0 3532 / 5436 12 615,43 PLN",TK1503U,01-12-23,"['18,4', '0', '3532', '/', '5436', '12', '615,43', 'PLN']","18,4",12
62,"Razem 10,9 0 1748 / 4547 5 383,73 PLN",TK1503U,04-12-23,"['10,9', '0', '1748', '/', '4547', '5', '383,73', 'PLN']","10,9",5
98,"Razem 13,7 0 4148 / 5204 11 562,30 PLN",TK1503U,04-12-23,"['13,7', '0', '4148', '/', '5204', '11', '562,30', 'PLN']","13,7",11
118,"Razem 15,7 0 4695 / 6021 4 444,54 PLN",TK1503U,05-12-23,"['15,7', '0', '4695', '/', '6021', '4', '444,54', 'PLN']","15,7",4
129,"Razem 15,5 0 6008 / 7218 12 826,17 PLN",TK1503U,05-12-23,"['15,5', '0', '6008', '/', '7218', '12', '826,17', 'PLN']","15,5",12
168,"Razem 8,6 0 1810 / 3534 6 353,02 PLN",TK1503U,06-12-23,"['8,6', '0', '1810', '/', '3534', '6', '353,02', 'PLN']","8,6",6
191,"Razem 16,7 0 5279 / 7355 13 773,17 PLN",TK1503U,06-12-23,"['16,7', '0', '5279', '/', '7355', '13', '773,17', 'PLN']","16,7",13
219,"Razem 11,0 0 4440 / 4538 4 344,50 PLN",TK1503U,08-12-23,"['11,0', '0', '4440', '/', '4538', '4', '344,50', 'PLN']","11,0",4
244,"Razem 15,7 0 4642 / 6235 16 745,75 PLN",TK1503U,08-12-23,"['15,7', '0', '4642', '/', '6235', '16', '745,75', 'PLN']","15,7",16
256,"Razem 17,1 0 3271 / 5038 7 523,97 PLN",TK1503U,11-12-23,"['17,1', '0', '3271', '/', '5038', '7', '523,97', 'PLN']","17,1",7
298,"Razem 17,5 0 2784 / 3518 12 470,33 PLN",TK1503U,11-12-23,"['17,5', '0', '2784', '/', '3518', '12', '470,33', 'PLN']","17,5",12
316,"Razem 18,7 0 3740 / 8159 9 675,34 PLN",TK1503U,12-12-23,"['18,7', '0', '3740', '/', '8159', '9', '675,34', 'PLN']","18,7",9
334,"Razem 19,0 0 4592 / 5658 6 456,60 PLN",TK1503U,12-12-23,"['19,0', '0', '4592', '/', '5658', '6', '456,60', 'PLN']","19,0",6
354,"Razem 15,7 0 3870 / 6689 5 533,38 PLN",TK1503U,13-12-23,"['15,7', '0', '3870', '/', '6689', '5', '533,38', 'PLN']","15,7",5
378,"Razem 16,7 0 4827 / 6552 14 754,94 PLN",TK1503U,13-12-23,"['16,7', '0', '4827', '/', '6552', '14', '754,94', 'PLN']","16,7",14
