start_kod,start_miasto,stop_kod,stop_miasto,miejsce,nr,mpal,km,stref,staw,waga_br,waga_przel,kwota,kosztow,konto
604,RADOM          ,1186,BUDAPEST        XFISH GLOBAL KFT  , ,616254010180560,"1,0",0,ZN3,0,85,518,"46,91",205,42111
600,RADOM          ,51701,SOLNICE         JOSEF STRNAD,S.R.O  ,616254010180730,"0,0",0,ZN3,0,12,12,"15,26",205,42111
604,RADOM          ,05201,SPISSKA NOVA VESHERON,S.R.O         ,616254010180782,"2,0",0,ZN3,0,400,1137,"99,88",205,42111
604,RADOM          ,1186,BUDAPEST        XFISH GLOBAL KFT  , ,616254010180950,"1,0",0,ZN3,0,100,518,"46,91",205,42111
600,RADOM          ,02062,HOROVCE         JTF PARTNERSHIP,S.  ,616304010384202,"1,0",0,ZN3,0,512,512,"46,33",205,42111
600,RADOM          ,91111,KŁAJPEDA        ALGRIMA UAB       , ,616254010181488,"3,0",0,ZN3,0,995,1771,"122,03",205,42111
600,RADOM          ,01214,VILNIUS         GINTAS PETRONIS   , ,616154010393514,"0,5",0,ZN3,0,34,86,"20,12",205,42111
604,RADOM          ,1186,BUDAPEST        XFISH GLOBAL KFT  , ,616254010182095,"1,0",0,ZN3,0,140,518,"46,91",205,42111
660,JEDLIŃSK       ,03901,TURCIANSKE TEPLISAMUEL PILIAR     , ,616254010182096,"1,0",0,ZN4,0,150,460,"45,40",205,42111
604,RADOM          ,05201,SPISSKA NOVA VESHERON,S.R.O         ,616254010182294,"2,0",0,ZN3,0,340,1468,"102,74",205,42111
660,JEDLIŃSK       ,41288,DREWNIAK,F43  ,616402010983070,"0,5",0,ZN4,0,180,230,"34,16",205,42120
082,BOLECHOWICE     TUKAN,24,RENATA ŚW, ,616252011500842,"3,0",0,ZN3,0,566,6364,"209,25",205,42111
601,RADOM          ,32657,LEMGO           ISRINGHAUSEN GMBH , ,616254010182410,"1,0",0,ZN3,0,355,355,"35,00",205,42111
660,JEDLIŃSK       ,82107,BRATISLAVA      RP SERVIS         , ,616254010182587,"1,0",0,ZN4,0,200,345,"39,36",205,42111
604,RADOM          ,1186,BUDAPEST        XFISH GLOBAL KFT  , ,616254010182641,"2,0",0,ZN3,0,275,1036,"91,03",205,42111
600,RADOM          ,1185,BUDAPESZT       VIDA ZSOLT ATTILA , ,616384411487144,"1,0",0,ZN3,0,270,288,"29,57",205,42111
600,Radom          ,83104,BRATISŁAVA      JAGA SHOP,S.R.O     ,616254010181157,"1,0",0,ZN3,0,180,302,"29,81",205,42111
600,RADOM          ,03185,PEITZ           FALKEN GMBH       , ,616254010181171,"1,0",0,ZN3,0,530,530,"47,96",205,42111
600,Radom          ,38221,WOLOS           TSANTOU,N.CHARIKLE  ,616254010181375,"0,5",0,ZN3,0,100,2404,"146,75",205,42111
600,RADOM          ,03151,VILNIUS         UAB BONIJANA      , ,616154010392656,"1,0",0,ZN3,0,260,432,"39,29",205,42111
600,RADOM          ,03185,PEITZ           FALKEN GMBH       , ,616254010181567,"1,0",0,ZN3,0,500,650,"58,82",205,42111
600,RADOM          ,1185,BUDAPESZT       VIDA ZSOLT ATTILA , ,616384411494111,"1,0",0,ZN3,0,190,288,"29,57",205,42111
600,RADOM          ,53304,NARSIECIAI      UAB MERSETA       , ,616254010181934,"2,0",0,ZN3,0,1200,1200,"102,74",205,42111
600,Radom          ,13917,TALLIN          MERENEID TRADING O, ,616254010182528,"0,5",0,ZN3,0,35,1548,"106,65",205,42111
600,RADOM          ,12131,Peristeri       KOUTROUDITOS,X.-DI  ,616054011119235,"1,5",0,ZN3,0,100,547,"49,52",205,42111
600,Radom          ,08501,BARDEJOV        NAILY,S.R.O.        ,616254010182609,"0,5",0,ZN3,0,80,2584,"146,75",205,42111
600,RADOM          ,96001,ZVOLEN          PROALU,S.R.O.       ,616254010182640,"0,7",0,ZN3,0,100,270,"29,57",205,42111
600,RADOM          ,20831,SEREGNO         LORAGI TRADING DI , ,616254010180696,"1,0",0,ZN3,0,100,288,"29,57",205,42111
600,RADOM          ,77746,SCHUTTERWALD    THERMOTEX NAGEL GM, ,616254010180775,"1,0",0,ZN3,0,301,518,"46,91",205,42111
600,RADOM          ,61700,BRNO            OK BUSINESS,S.R.O.  ,616544010588926,"1,0",0,ZN3,0,280,518,"46,91",205,42111
600,RADOM           MS,14, , ,616302012443612,"0,5",0,ZN3,0,60,144,"28,97",205,42120
600,RADOM          ,80010,VILLARICCA -,NAPF.LA.I. SAS DI VOL  ,616254010180976,"1,0",0,ZN3,0,197,432,"39,29",205,42111
600,RADOM          ,9940,EVERGEM         ABB INDUSTRIAL SOL, ,616254010181015,"1,0",0,ZN3,0,980,980,"83,84",205,42111
600,RADOM          ,38601,STRAKONICE      AUTOGAS CENTRUM PL, ,616254010181129,"1,0",0,ZN3,0,180,311,"30,67",205,42111
600,RADOM          ,46602,JABLONEC NAD NISABB,S.R.O.          ,616254010181238,"1,0",0,ZN3,0,380,380,"37,46",205,42111
600,RADOM          ,00040,SANTA PALOMBA   ABB,S.P.A.          ,616254010181582,"0,5",0,ZN3,0,80,80,"20,12",205,42111
600,RADOM          ,58813,POLNA           TKZ POLNA         , ,616254010181676,"0,5",0,ZN3,0,275,275,"29,57",205,42111
